epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.026,0.70739,0.92903,0.90078,0.99801,0.99582,0.99418,0.85699,0.58465,0.37788,0.84323,0.00332005,0.00332005,0.00332005
2,248.757,0.66632,0.43941,0.88095,0.9901,0.99465,0.99415,0.82956,0.64004,0.38729,0.87695,0.00660566,0.00660566,0.00660566
3,370.616,0.6967,0.47805,0.90701,0.99353,0.98408,0.99245,0.83722,0.64174,0.41494,0.90948,0.00984343,0.00984343,0.00984343
4,488.012,0.68796,0.44345,0.91415,0.99001,0.98601,0.99406,0.80826,0.75324,0.41238,0.96751,0.00978478,0.00978478,0.00978478
5,603.803,0.65358,0.40969,0.90492,0.9939,0.99701,0.99435,0.83865,0.65943,0.38171,0.93261,0.00971304,0.00971304,0.00971304
6,720.781,0.6264,0.39071,0.89655,0.99302,0.99097,0.99415,0.83806,0.66934,0.39377,0.92914,0.0096413,0.0096413,0.0096413
7,835.352,0.6057,0.36972,0.89359,0.99325,0.99701,0.99438,0.84578,0.62253,0.36931,0.91382,0.00956957,0.00956957,0.00956957
8,954.879,0.60101,0.3584,0.89219,0.98319,0.98915,0.99416,0.85382,0.62518,0.34808,0.91102,0.00949783,0.00949783,0.00949783
9,1067.92,0.59192,0.35268,0.88891,0.99256,0.99104,0.993,0.85791,0.59073,0.33733,0.90052,0.00942609,0.00942609,0.00942609
10,1189.68,0.58266,0.34425,0.88436,0.99781,0.99502,0.99437,0.86474,0.58293,0.30764,0.89608,0.00935435,0.00935435,0.00935435
11,1304.65,0.58074,0.33938,0.88446,0.99642,0.99502,0.99464,0.83904,0.65995,0.34736,0.9232,0.00928261,0.00928261,0.00928261
12,1427.05,0.573,0.33189,0.88326,0.99556,0.99502,0.9941,0.85544,0.62873,0.32363,0.91486,0.00921087,0.00921087,0.00921087
13,1538.6,0.56598,0.32348,0.88581,0.99424,0.98607,0.99397,0.8537,0.59599,0.32464,0.90872,0.00913913,0.00913913,0.00913913
14,1661.75,0.55514,0.3144,0.88313,0.99297,0.98442,0.99371,0.87045,0.60634,0.33748,0.89742,0.00906739,0.00906739,0.00906739
15,1793.17,0.55541,0.31485,0.88169,0.99498,0.98573,0.99409,0.84594,0.67414,0.343,0.92932,0.00899565,0.00899565,0.00899565
16,1928.32,0.5586,0.31228,0.88742,0.9907,0.99104,0.99406,0.86832,0.59367,0.31878,0.90842,0.00892391,0.00892391,0.00892391
17,2047.94,0.55503,0.30987,0.88045,0.9969,0.99403,0.99431,0.86392,0.59893,0.31594,0.89952,0.00885217,0.00885217,0.00885217
18,2160.07,0.54852,0.30285,0.88363,0.99403,0.99351,0.99414,0.88359,0.5577,0.29217,0.89426,0.00878043,0.00878043,0.00878043
19,2276.53,0.54054,0.29929,0.87566,0.99701,0.99677,0.99391,0.87589,0.57706,0.29793,0.90328,0.0087087,0.0087087,0.0087087
20,2393.12,0.54035,0.2971,0.87821,0.99684,0.99502,0.994,0.84171,0.6831,0.31209,0.91902,0.00863696,0.00863696,0.00863696
21,2510.5,0.54249,0.29524,0.87868,0.99894,0.99502,0.99412,0.86578,0.60559,0.31204,0.90983,0.00856522,0.00856522,0.00856522
22,2628.15,0.53108,0.29044,0.87962,0.99687,0.99502,0.99402,0.87286,0.58958,0.29501,0.89839,0.00849348,0.00849348,0.00849348
23,2741.67,0.53555,0.28834,0.8777,0.99697,0.99502,0.9941,0.86256,0.63188,0.28839,0.89651,0.00842174,0.00842174,0.00842174
24,2859.68,0.53267,0.28867,0.87301,0.99642,0.99403,0.99408,0.88485,0.54854,0.28839,0.88182,0.00835,0.00835,0.00835
25,2974.09,0.53832,0.28838,0.87617,0.99701,0.99436,0.99409,0.87537,0.55845,0.29972,0.89502,0.00827826,0.00827826,0.00827826
26,3091.42,0.52894,0.28428,0.87695,0.99792,0.99801,0.99425,0.89248,0.51994,0.28008,0.87884,0.00820652,0.00820652,0.00820652
27,3207.4,0.52802,0.2822,0.87338,0.99675,0.99502,0.99416,0.87185,0.57417,0.28768,0.88481,0.00813478,0.00813478,0.00813478
28,3327.56,0.53169,0.28218,0.87692,0.99786,0.99801,0.99415,0.87151,0.5965,0.28056,0.9067,0.00806304,0.00806304,0.00806304
29,3440.55,0.52313,0.27672,0.87754,0.99849,0.99602,0.9941,0.89133,0.52346,0.27174,0.88928,0.0079913,0.0079913,0.0079913
30,3563.5,0.5228,0.27423,0.8752,0.99877,0.99701,0.99403,0.8814,0.56561,0.27527,0.89467,0.00791957,0.00791957,0.00791957
31,3679.2,0.52136,0.27326,0.87994,0.99701,0.99677,0.99414,0.87327,0.57571,0.27656,0.90947,0.00784783,0.00784783,0.00784783
32,3802.97,0.51589,0.26849,0.87443,0.998,0.99063,0.99435,0.87434,0.60064,0.28431,0.92231,0.00777609,0.00777609,0.00777609
33,3916.82,0.5178,0.26759,0.87906,0.99146,0.99104,0.99411,0.88427,0.53219,0.27066,0.89108,0.00770435,0.00770435,0.00770435
34,4038.97,0.51334,0.26398,0.8708,0.99594,0.99701,0.99407,0.88733,0.53868,0.26125,0.8768,0.00763261,0.00763261,0.00763261
35,4153.38,0.51707,0.2674,0.87385,0.99778,0.99801,0.99415,0.88941,0.55221,0.26993,0.88599,0.00756087,0.00756087,0.00756087
36,4277.27,0.51594,0.26614,0.87162,0.99405,0.99668,0.99431,0.87963,0.57704,0.27497,0.88594,0.00748913,0.00748913,0.00748913
37,4393.36,0.52006,0.26293,0.87754,0.99394,0.99005,0.99406,0.87079,0.60258,0.29214,0.92388,0.00741739,0.00741739,0.00741739
38,4516.97,0.50753,0.26058,0.87044,0.99801,0.9969,0.994,0.87457,0.57445,0.27822,0.89658,0.00734565,0.00734565,0.00734565
39,4631.34,0.51067,0.25918,0.87375,0.99594,0.99801,0.99409,0.89232,0.53914,0.26377,0.89411,0.00727391,0.00727391,0.00727391
40,4752.83,0.51418,0.26359,0.87261,0.998,0.99389,0.99401,0.87894,0.56978,0.26539,0.89001,0.00720217,0.00720217,0.00720217
41,4868.9,0.5104,0.25817,0.87072,0.999,0.99584,0.99405,0.87774,0.56674,0.26766,0.90391,0.00713043,0.00713043,0.00713043
42,4991.31,0.51012,0.25781,0.87409,0.99791,0.99403,0.99396,0.87303,0.58969,0.26913,0.91795,0.0070587,0.0070587,0.0070587
43,5107.41,0.50855,0.25658,0.8724,0.99865,0.99701,0.99402,0.8904,0.52514,0.24962,0.86971,0.00698696,0.00698696,0.00698696
44,5229.75,0.51083,0.26435,0.86674,0.997,0.99366,0.99418,0.88681,0.53662,0.24958,0.85966,0.00691522,0.00691522,0.00691522
45,5347.64,0.50401,0.25403,0.86431,0.99835,0.99104,0.99407,0.89032,0.5309,0.25058,0.86409,0.00684348,0.00684348,0.00684348
46,5470.87,0.50644,0.25364,0.87201,0.9979,0.99701,0.9943,0.87299,0.59645,0.27421,0.92598,0.00677174,0.00677174,0.00677174
47,5588.41,0.50572,0.25386,0.86912,0.99774,0.99701,0.99401,0.88985,0.53847,0.25175,0.87611,0.0067,0.0067,0.0067
48,5711.49,0.50478,0.25091,0.86533,0.99887,0.99502,0.99402,0.88155,0.57569,0.2618,0.88444,0.00662826,0.00662826,0.00662826
49,5827.37,0.50512,0.255,0.86667,0.99761,0.99701,0.99403,0.88292,0.53964,0.24875,0.88599,0.00655652,0.00655652,0.00655652
50,5950.1,0.50354,0.2519,0.86758,0.99884,0.99701,0.99401,0.87377,0.58201,0.24798,0.88537,0.00648478,0.00648478,0.00648478
51,6065.5,0.49898,0.25011,0.86779,0.98698,0.99005,0.99384,0.87846,0.56767,0.26387,0.87998,0.00641304,0.00641304,0.00641304
52,6188.62,0.50396,0.25109,0.87024,0.99702,0.99745,0.99406,0.88386,0.56192,0.26247,0.90508,0.0063413,0.0063413,0.0063413
53,6305.89,0.50224,0.25049,0.87349,0.9929,0.99502,0.99429,0.87723,0.56893,0.26067,0.90245,0.00626957,0.00626957,0.00626957
54,6428.6,0.49969,0.24672,0.87072,0.99878,0.99801,0.99404,0.88304,0.55991,0.25111,0.89115,0.00619783,0.00619783,0.00619783
55,6543.21,0.49874,0.24612,0.86902,0.99772,0.99204,0.99402,0.87875,0.57209,0.25545,0.88149,0.00612609,0.00612609,0.00612609
56,6665.6,0.49952,0.24673,0.86502,0.99771,0.99801,0.99405,0.88745,0.54816,0.23904,0.87445,0.00605435,0.00605435,0.00605435
57,6783.24,0.50105,0.24877,0.86907,0.99701,0.99484,0.99401,0.89422,0.51934,0.23522,0.87899,0.00598261,0.00598261,0.00598261
58,6906.28,0.50003,0.24409,0.86441,0.997,0.99279,0.99401,0.8885,0.54375,0.2488,0.87127,0.00591087,0.00591087,0.00591087
